Anno;Debito;PIL
2015;2171671.00;1636372.00
2014;2136204.00;1611884.00
2013;2069847.00;1604478.00
2012;1989781.00;1613265.00
2011;1897900.00;1580220.00
2010;1843015.00;1548816.00
2009;1763864.00;1519702.00
2008;1666603.00;1567761.00
2007;1602115.00;1546177.00
2006;1582009.00;1485377.00
2005;1512779.00;1429479.00
2004;1445826.03;1391530.16
2003;1394338.92;1335353.72
2002;1368897.08;1295225.72
2001;1358350.80;1248648.10
2000;1300268.73;1191057.32
1999;1281549.92;1127091.09
1998;1254388.06;1091361.49
1997;1238171.66;1048766.49
1996;1213508.31;1003777.62
1995;1151488.82;947338.66
1994;1069415.10;877708.09
1993;959713.46;829758.08
1992;849920.48;805681.78
1991;755010.88;765806.10
1990;667847.73;701352.01
1989;591618.70;634021.21
1988;524528.44;577455.08
1987;463083.44;519650.59
1986;404335.88;475030.68
1985;347592.62;429648.79
1984;286744.39;382830.72
1983;232385.48;334832.90
1982;181567.83;287552.25
1981;142427.14;243632.43
1980;114065.98;203382.84
1979;94800.49;162758.62
1978;79091.78;133047.80
1977;62459.56;113100.35
1976;52317.52;93078.46
1975;41899.43;73975.51
1974;32403.78;64586.02
1973;25780.29;50911.22
1972;20107.86;42154.74
1971;16145.92;38486.46
1970;13086.60;35267.44
1969;11284.24;27865.58
1968;10024.68;24602.07
1967;8587.50;22220.88
1966;7837.24;20456.13
1965;6140.02;17008.45
1964;5468.76;16645.69
1963;4989.91;15339.45
1962;4642.54;13586.65
1961;4282.98;12081.29
1960;4032.14;10938.43
1959;3892.79;10161.13
1958;3543.38;9260.23
1957;3310.83;8568.49
1956;3146.65;7829.51
1955;2978.29;7128.47
1954;2710.01;6375.35
1953;2422.60;5848.03
1952;2136.59;5090.40
1951;1864.37;4585.32
1950;1582.05;3638.39
1949;1422.45;3215.92
1948;1214.44;2742.30
1947;914.77;1995.21
1946;743.69;1858.20
1945;566.7;781.76
1944;391.66;422.36
1943;257.32;238.39
1942;190.45;180.83
1941;137.22;218.69
1940;96.71;119.21
1939;79.38;104.12
1938;73.41;95.49
1937;68.65;89.21
1936;65.25;79.6
1935;60.02;73.53
1934;59.36;67.47
1933;56.55;66.29
1932;55.3;71.46
1931;71.92;99.29
1930;83.11;130.19
1929;83.05;142.15
1928;82.77;140.94
1927;84.38;143.99
1926;84.86;167.87
1925;92.9;89.52
1924;103.05;72.51
1923;98.88;69.04
1922;90.91;63.58
1921;91.38;59.68
1920;90.94;56.66
1919;56.36;41.44
1918;36.21;36.53
1917;26.62;27.49
1916;15.92;19.26
1915;12.61;15.69
1914;9.97;13.39
1913;9.36;13.09
1912;9.05;12.47
1911;8.78;11.9
1910;8.74;10.8
1909;8.52;10.94
1908;8.38;10.02
1907;8.22;10.42
1906;8.1;9.24
1905;8.06;8.74
1904;7.98;8.53
1903;7.92;8.62
1902;7.89;7.87
1901;7.91;8.1
1900;7.98;7.96
1899;7.96;7.48
1898;7.97;7.43
1897;7.87;6.74
1896;7.75;6.92
1895;7.61;6.92
1894;7.65;6.73
1893;7.34;6.8
1892;7.3;6.65
1891;7.23;7.19
1890;7.01;6.96
1889;6.96;6.37
1888;6.82;6.25
1887;6.59;6.33
1886;6.47;6.77
1885;6.42;6.47
1884;6.46;5.87
1883;6.48;5.68
1882;6.58;6.15
1881;6.1;5.87
1880;5.54;6.37
1879;5.6;6.09
1878;5.6;6.22
1877;5.56;6.54
1876;5.49;5.78
1875;4.83;5.75
1874;4.8;6.4
1873;5.09;7.27
1872;5;6.33
1871;4.88;5.61
1870;4.71;4.91
1869;4.32;5.02
1868;4.21;5.13
1867;3.96;5.08
1866;3.39;4.4
1865;2.98;3.82
1864;2.6;3.71
1863;2.14;3.57
1862;1.82;3.96
1861;1.67;3.71
